categories = ['Arts and Entertainment', 'Business and Consumer Services', 'Community and Society', 'Computers Electronics and Technology', 'eCommerce and Shopping', 'Finance', 'Food and Drink', 'Gambling', 'Games', 'Health', 'Heavy Industry and Engineering', 'Hobbies and Leisure', 'Home and Garden', 'Jobs and Career', 'Law and Government', 'Lifestyle', 'News and Media Publishers', 'Pets and Animals', 'Reference Materials', 'Science and Education', 'Sports', 'Travel and Tourism', 'Vehicles', 'Adult']

Extension,index,load_time,website,key
disconnect,6,-35630,www.thesun.co.uk,News
disconnect,7,-35580,www.hollywoodreporter.com,News
disconnect,8,-34598,www.techradar.com,News
disconnect,9,-34468,www.livescience.com,Science
disconnect,10,-32225,www.huffpost.com,News
disconnect,11,-30769,www.nypost.com,News
disconnect,12,-27342,www.huffingtonpost.com,News
disconnect,13,-24666,www.reuters.com,News
disconnect,14,-24606,www.foxnews.com,News
disconnect,15,-23462,www.rollingstone.com,Arts & Entertainment
disconnect,16,-22466,www.mlb.com,Sports
disconnect,17,-22419,www.variety.com,Arts & Entertainment
disconnect,18,-20741,www.dictionary.com,Reference
disconnect,19,-20132,www.smithsonianmag.com,Reference
disconnect,20,-20028,www.arstechnica.com,NULL
disconnect,21,-19990,www.speedtest.net,Computer
disconnect,22,-19382,www.box.com,Sports
disconnect,23,-19134,www.careerindia.com,NULL
disconnect,24,-17602,www.time.com,News
disconnect,25,-17598,www.pornhub.com,Adult
disconnect,26,-16198,www.slate.com,News
disconnect,27,-16161,www.codexnomina.com,NULL
disconnect,28,-15663,www.nicovideo.jp,Arts-and-Entertainment
disconnect,29,-15595,www.eventbrite.com,Arts & Entertainment
disconnect,30,-15309,www.marinelink.com,NULL
disconnect,31,-13921,www.sfgate.com,News
disconnect,32,-13258,www.netscape.com,NULL
disconnect,33,-13257,www.wired.com,NULL
disconnect,34,-11971,www.marketwatch.com,Business & Industrial
disconnect,35,-11855,www.zhcommerce.cn,NULL
disconnect,36,-11570,www.britannica.com,Reference
disconnect,37,-11259,www.forbes.com,News
disconnect,38,-10847,www.lifehacker.com,NULL
disconnect,39,-10670,www.chron.com,News
disconnect,40,-9667,www.metsmerizedonline.com,NULL
disconnect,41,-9552,www.usatoday.com,News
disconnect,42,-9429,www.thehill.com,News
disconnect,43,-9134,www.gamespot.com,Games
disconnect,44,-9106,www.ndtv.com,News
disconnect,45,-8898,www.genius.com,Arts & Entertainment
disconnect,46,-8893,www.nreionline.com,NULL
disconnect,47,-8889,www.moneycontrol.com,Finance
disconnect,48,-8478,www.newscientist.com,NULL
disconnect,49,-8432,www.cnn.com,News
disconnect,50,-7989,www.news.com.au,Sports
disconnect,51,-7854,www.wowhead.com,Arts & Entertainment
disconnect,52,-7540,www.rcfl.com.hk,NULL
disconnect,53,-7476,www.digitaltrends.com,Science
disconnect,54,-7451,www.hatena.ne.jp,NULL
disconnect,55,-7414,www.patient.info,NULL
disconnect,56,-7069,www.verizon.com,Internet & Telecom
disconnect,57,-7049,www.ign.com,Games
disconnect,58,-7037,www.thedailybeast.com,Arts & Entertainment
disconnect,59,-6947,www.atlassian.net,Computers & Electronics
disconnect,60,-6928,www.thetimes.co.uk,News
disconnect,61,-6869,www.shein.com,Lifestyle
disconnect,62,-6851,www.newyorker.com,News
disconnect,63,-6808,www.timeanddate.com,Science-and-Education
disconnect,64,-6773,www.nba.com,Sports
disconnect,65,-6742,www.notthebee.com,Arts & Entertainment
disconnect,66,-6704,www.theverge.com,Computers & Electronics
disconnect,67,-6196,www.twitch.tv,Arts & Entertainment
disconnect,68,-6143,www.bestbuy.com,Computers-Electronics-and-Technology
disconnect,69,-5977,www.fandom.com,Arts & Entertainment
disconnect,70,-5878,www.andropalace.org,NULL
disconnect,71,-5842,www.learnmech.com,NULL
disconnect,72,-5815,www.economist.com,News
disconnect,73,-5789,www.braze.com,NULL
disconnect,74,-5591,www.readmoo.com,NULL
disconnect,75,-5378,www.indiatimes.com,News
disconnect,76,-5369,www.pcmag.com,Shopping
disconnect,77,-5364,www.mashable.com,Business & Industrial
disconnect,78,-5285,www.bizjournals.com,NULL
disconnect,79,-5278,www.thisvid.com,NULL
disconnect,80,-5259,www.theoriginalshotels.com,NULL
